SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.04_Status,25-Apr
NRP48619,8806173486199 ,"Real Squeeze Aloe Vera Eye Serum, 0.5 fl oz (15 ml)",NRP,Nature Republic,On Sale,27
APB68419,8809874684192 ,"Lactic Acid Retinol Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
HBF94884,8809617948840 ,"Dark Chocolate Almond Crunch, 100 g",HBF,HBAF,New Pending,0
NRP47192,8806173471928 ,"Calendula Forest Garden, Deep Cleansing Oil, 6.76 fl oz (200 ml)",NRP,Nature Republic,NoPO,4
APB68418,8809874684185 ,"Azelaic Acid Peptide Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
DMX48005,8809886480058 ,"TX-Peeling Toner, 5.07 fl oz (150 ml)",DMX,Dr.Melaxin,On Sale,55
MUZ58052,8809836580524 ,"Fitting Blush, 02 Kinda, 1 Count",MUZ,Muzigae Mansion,On Sale,8
NRP44948,8806173449484 ,"Real Nature Beauty Mask Sheet, Tea Tree, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,NoPO,17
APB68516,8809874685168 ,"Collagen EGF Peptide Body Lotion , 10.14 fl oz (300 ml)",APB,APLB,New Pending,0
NRP44935,8806173449354 ,"Real Nature Beauty Mask Sheet, Royal Jelly, 1 Sheet, 0.77 fl oz (23 ml)",NRP,Nature Republic,NoPO,18
NRP48222,8806173482221 ,"CICA D1,  Green Derma Mild CICA Cream, 6.42 fl oz (190 ml)",NRP,Nature Republic,NoPO,0
TSN01017,8809616010173 ,"TS Chakhan Hair Color Cream, No. 7 Light Brown, 1 Kit",TSN,TS Trillion,NoPO,4
APB68385,8809874683850 ,"Snail Mucin Ginseng Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
APB68529,8809874685298 ,"Spicule Retinol Shot 180 Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
GBL51028,8809893510281 ,"Squalane Deep Moisture Serum , 1.01 fl oz (30 ml)",GBL,Genabelle,New Seller,4
NRP49010,8806173490103 ,"Mild & Moisture Aloe Vera Watery Gel, 8.45 fl oz (250 ml)",NRP,Nature Republic,On Sale,123
APB68528,8809874685281 ,"Spicule Niacinamide Shot 260 Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
GBL54060,8809743540604 ,"Pink Cloud Cleansing Foam, 5.07 fl oz (150 ml)",GBL,Genabelle,New Seller,4
SGE02238,8800253022383 ,"Deep Collagen Melting Patch , 3 Sets, 0.016 oz (0.46 g) Each",SGE,Sungboon Editor,New Pending,0
APB68515,8809874685151 ,"Retinol Vitamin C, Vitamin E Body Lotion , 10.14 fl oz (300 ml)",APB,APLB,New Pending,0
DMX48153,8809886481536 ,"AstaxanthinRX, Whitening Ampoule Beauty Mask Pack, 5 Sheets, 0.88 oz (25 g) Each",DMX,Dr.Melaxin,New Seller,7
MUZ58006,8809836580067 ,"Objet Liquid, 006 Notable, 1 Count",MUZ,Muzigae Mansion,NoPO,18
APB68537,8809874685373 ,"Exosome Niacinamide EX Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
