SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.08_Status,25-Aug
NRP48703,8806173487035 ,"Black Bean, Invigorating Hair Shampoo, For All Types of Hair, 10.14 fl oz (300 ml)",NRP,Nature Republic,NoPO,9
PNA09301,8809704093019 ,"Cicamanu Serum Cushion, 24N Natural Nude, 0.52 oz (15 g)",PNA,Parnell,New Seller,99
MVY80655,8809849806550 ,"Liberte, Firming Expert Cream, 1.69 fl oz (50 ml)",MVY,Molvany,New Seller,6
NRP48847,8806173488476 ,"Super Aqua Max, Combination Watery Cream, 2.7 fl oz (80 ml)",NRP,Nature Republic,NoPO,14
APB68420,8809874684208 ,"Glycolic Acid Niacinamide Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,91
DMX48193,8809886481932 ,"Eyephalt, Eyecream for Eyebags, 0.33 fl oz (10 ml)",DMX,Dr.Melaxin,On Sale,147
MUZ58076,8809836580760 ,"Moodwear Blur Lipstick, 006 Ruffle, 1 Count",MUZ,Muzigae Mansion,On Sale,3
HKI23312,8809653233122 ,"Glass Skin On The Go, 4 Piece Set",HKI,Hanskin,New Pending,0
NRP46220,8806173462209 ,"Good Skin, Collagen Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,NoPO,12
MVY90838,8809875908389 ,"Volume Impact Protein Cream , 3.4 fl oz (100 ml)",MVY,Molvany,New Seller,18
APB68316,8809874683164 ,"Hyaluronic Acid Ceramide HA B5 Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
DMX48246,8809886482465 ,"Peel Shot, Glow White Rice Toner, All Skin Types, 6.76 fl oz (200 ml)",DMX,Dr.Melaxin,New Pending,0
HBF94921,8809617949212 ,"Wasabi Mayo Popcorn, 80 g",HBF,HBAF,New Seller,81
SGE02043,8800253020433 ,"Deep Collagen Niacin-Vita C Brightening Beauty Mask , 4 Sheets, 1.3 oz (37 g) Each",SGE,Sungboon Editor,New Seller,34
APB68399,8809874683997 ,"Glutathione Niacinamide, Cleansing Balm, 2.71 fl oz (80 ml)",APB,APLB,On Sale,61
APB68402,8809874684024 ,"Azelaic Acid Peptide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,468
APB68534,8809874685342 ,"Liposomal Retinol LX Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,53
EQQ45319,8809875453193 ,"Swimming Pool Toner , 10.14 fl oz (300 ml)",EQQ,EQQUALBERRY,New Seller,162
GBL39004,8809690390048 ,"PDRN Rejuvenating Cream , 2.36 fl oz (70 ml)",GBL,Genabelle,On Sale,301
PNA09243,8809704092432 ,"Panthenol Heartleaf Calming Pad, 60 Pads, 5.99 oz (170 g)",PNA,Parnell,New Pending,0
HKI23172,8809653231722 ,"Real Complexion, Hyaluron Eye Serum, 0.84 fl oz (25 ml)",HKI,Hanskin,New Pending,0
BBU62492,8809135624929 ,"Clean Bidet Tissue, Wet Wipes, Flushable, 20 Wipes",BBU,Bebesup,New Pending,0
HKI23817,8809653238172 ,"Glow Skin On the Go, 4 Piece Set",HKI,Hanskin,New Pending,0
SGE02041,8800253020419 ,"Deep Collagen Hyalu-B5 Hydrating Beauty Mask , 4 Pack, 1.30 oz (37 g) Each",SGE,Sungboon Editor,New Seller,24
TWA31348,8800276313482 ,"Glaze Bouncing Tint, 04 Peach Chou, 4.5 g",TWA,2aN,New Seller,8
MUZ58026,8809836580265 ,"Icy Glow, 06 Cheshire, 1 Count",MUZ,Muzigae Mansion,NoPO,0
NRP46863,8806173468638 ,"Argan Essential Deep Care Hair Essence, 2.7 fl oz (80 ml)",NRP,Nature Republic,NoPO,9
MUZ58043,8809836580432 ,"Objet Water, 003 Posh, 6 ml",MUZ,Muzigae Mansion,NoPO,6
APB68508,8809874685083 ,"PDRN Vitamin C Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,126
PNA09306,8809704093064 ,"Cicamanu Serum Cushion, 33C Cool Cream, 0.52 oz (15 g)",PNA,Parnell,New Seller,1
APB68276,8809874682761 ,"Glutathione Niacinamide, Sunscreen, SPF 50+ PA ++++, 1.35 fl oz (40 ml)",APB,APLB,On Sale,1591
APB68526,8809874685267 ,"Spicule Vitamin C Shot 220 Serum, 1.35 fl oz (40 ml)",APB,APLB,New Seller,26
DMX48167,8809886481673 ,"Cemenrete, Calcium Dark Spot Eye Cream, 0.52 oz (15 g)",DMX,Dr.Melaxin,On Sale,54
NRP48604,8806173486045 ,"Kombucha Black Tea, Treatment Ampoule 78%, 1 Count",NRP,Nature Republic,NoPO,3
APB68404,8809874684048 ,"Glycolic Acid Niacinamide Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Seller,78
APB68423,8809874684239 ,"Panthenol Retinol Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Seller,99
TWA12692,8809657126925 ,"Dual Cheek, 05 Mood In Cheek, 9 g",TWA,2aN,New Seller,25
APB68407,8809874684079 ,"Panthenol Retinol Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,52
PNA09316,8809704093163 ,"Cicamanu Serum Cushion, 17N Fair Vanilla, 0.52 oz (15 g)",PNA,Parnell,New Seller,51
SGE56875,8809684568750 ,"Green Tomato Pore Peeling Jumbo Pad, 60 Pads, 6.08 fl oz (180 ml)",SGE,Sungboon Editor,New Seller,22
TSN01025,8809616010258 ,"Premium TS Treatment, 6.76 fl oz (200 ml)",TSN,TS Trillion,NoPO,4
APB68535,8809874685359 ,"Liposomal Vitamin C LX Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,24
OOT81258,8809349812587 ,"AHA BHA Clarifying Serum , 1.69 fl oz (50 ml)",OOT,OOTD,New Seller,5
DMX48144,8809886481444 ,"Oyster Pep-3 Renewal Ampoule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,19
LFT67871,8805915678717 ,"Probiotic, Kids , 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,192
NRP46222,8806173462223 ,"Good Skin, Vitamin E Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,NoPO,41
GBL54440,8809743544404 ,"PDRN Rejuvenating Toner , 10.14 fl oz (300 ml)",GBL,Genabelle,On Sale,220
NRP46867,8806173468676 ,"Argan, Essential Deep Care Shampoo, For Extremely Damaged Hair, 10.14 fl oz (300 ml)",NRP,Nature Republic,NoPO,11
NRP47345,8806173473458 ,"Shea Butter, Ultra Steam Cream, 3.38 fl oz (100 ml)",NRP,Nature Republic,NoPO,18
PNA07126,8809704071260 ,"Glacial Biome Water No-Sebum Cushion , 0.35 oz (10 g)",PNA,Parnell,New Seller,156
SRI99710,8809083997106 ,"Deep In A Barrier Cream, 1.69 fl oz (50 ml)",SRI,Sioris,On Sale,19
APB68311,8809874683119 ,"Hyaluronic Acid Ceramide HA B5 Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
APB68470,8809874684703 ,"Caffeine Niacinamide Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,68
HKI63989,8809448639894 ,"Pore Cleansing Oil, BHA, 10.14 fl oz (300 ml)",HKI,Hanskin,New Pending,0
SRI77910,8809186779104 ,"All Your Love Body Cream, 10.14 fl oz (300 ml)",SRI,Sioris,On Sale,18
APB68403,8809874684031 ,"Lactic Acid Retinol Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Seller,37
HBF94891,8809617948918 ,"New York Cheese Burger Popcorn, 80 g",HBF,HBAF,New Seller,78
APB68321,8809874683218 ,"Hyaluronic Acid Ceramide HA B5 Facial Toner, 5.41 fl oz (160 ml)",APB,APLB,New Pending,0
APB68544,8809874685441 ,"Liposome Collagen LX Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,37
APL24095,8804014240955 ,"Centel Calming Shot, First Gel Cleanser, 5.07 fl oz (150 ml)",APL,AMPLE:N,NoPO,2
APB68313,8809874683133 ,"Salicylic Acid BHA Arbutin Ampoule Serum, 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
APB68425,8809874684253 ,"Adenosine Vitamin C Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,25
